Listing No.,Price,Superhost,Host listings count,Host identity verified,Distance,Accommodation type 1,Accommodation type 2,Accommodation type 3,Accommodation type 4,Entire home/apartment,Private room,Shared room,Accommodates,Bathrooms,Bedrooms,Real bed,Wireless Internet,Breakfast,Free parking,Instant bookable,Cancellation policy (Moderate plus strict),Smoking allowed,Required guest's profile picture,Required guest's phone verification,Reviews per year,Review scores for overall rating
67,76.00,0,1,0,7.927742096,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,,
68,18.00,1,2,1,3.623007718,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,3.24,76
69,32.00,0,3,1,1.772407249,1,0,0,0,0,1,0,2,1,1,1,1,1,0,1,0,0,0,0,17.64,96
70,129.00,0,7,0,0.740928458,1,0,0,0,1,0,0,4,1,2,1,1,0,0,1,1,0,0,0,4.92,85
71,67.00,1,1,1,0.585766561,1,0,0,0,1,0,0,4,1,1,1,1,0,0,0,1,0,0,0,12.24,99
72,45.00,0,7,0,4.12658026,1,0,0,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,,
73,33.00,1,1,1,3.197254668,0,0,1,0,0,1,0,2,1,1,1,1,0,1,0,1,0,0,0,19.08,95
74,25.00,0,1,0,1.464357432,1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,1,0,0,0,31.44,92
75,99.00,1,2,0,8.181478658,1,0,0,0,1,0,0,4,1.5,1,1,1,0,1,0,1,0,0,0,2.28,100
76,23.00,0,2,1,7.60949209,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,3.12,91
77,20.00,0,3,0,6.878972438,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,7.08,92
78,15.00,0,2,1,7.666779742,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,4.92,88
79,60.00,1,1,1,1.004528323,1,0,0,0,1,0,0,5,1,1,1,1,0,0,0,1,1,0,0,18,96
80,159.00,0,7,0,0.716271797,1,0,0,0,1,0,0,8,2,2,1,1,0,0,0,1,0,0,0,2.4,86
81,55.00,0,1,0,4.819186611,1,0,0,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,0.72,80
82,25.00,1,1,1,7.106785204,0,0,1,0,0,1,0,2,1,1,1,1,1,0,0,1,0,0,0,21.72,97
83,26.00,1,1,1,4.030768688,0,0,1,0,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0,33.36,100
84,115.00,0,7,0,3.903428695,1,0,0,0,1,0,0,7,1,2,1,1,1,0,0,1,0,0,0,0.84,90
85,17.00,0,1,1,8.626817651,0,0,1,0,0,1,0,2,2,1,1,1,0,1,0,1,0,0,0,13.8,90
86,75.00,0,10,0,1.462013521,1,0,0,0,1,0,0,8,1,3,1,1,0,0,1,1,0,0,0,43.08,82
87,363.00,0,2,0,3.63669281,0,0,1,0,1,0,0,11,1,5,1,1,0,1,0,1,0,0,0,0.48,70
88,55.00,0,10,1,0.737115176,1,0,0,0,1,0,0,4,1.5,1,1,1,0,0,1,1,0,0,0,67.92,89
89,28.00,0,2,0,4.587460095,1,0,0,0,0,1,0,2,1,2,1,1,1,1,0,1,0,0,0,1.44,96
90,149.00,0,7,0,4.048624485,1,0,0,0,1,0,0,7,1,1,1,1,0,0,0,1,0,0,0,1.32,73
91,19.00,0,2,0,17.22318646,0,0,1,0,0,1,0,1,1.5,1,1,1,1,0,1,0,0,0,0,3.72,94
92,400.00,0,19,1,0.588957189,0,0,0,1,1,0,0,10,2,2,1,1,0,0,0,1,0,0,0,3.6,88
93,40.00,1,1,1,1.612778934,1,0,0,0,0,1,0,2,1,1,1,1,1,0,0,1,0,0,0,20.64,97
94,22.00,0,1,1,6.888534846,0,1,0,0,0,1,0,2,1,1,1,1,1,0,1,1,0,0,0,9.24,96
95,950.00,0,5,0,13.96388668,0,0,1,0,1,0,0,10,5.5,5,1,1,1,1,0,1,0,0,0,,
96,450.00,0,19,1,0.730194392,0,0,0,1,1,0,0,9,1,2,1,1,0,0,0,1,0,0,0,0.84,87
97,430.00,0,19,1,0.647246428,0,0,0,1,1,0,0,6,2,2,1,1,0,0,0,1,0,0,0,1.56,90
98,350.00,0,19,1,0.708519662,0,0,0,1,1,0,0,9,1,2,1,1,0,0,0,1,0,0,0,3.6,100
99,450.00,0,19,1,0.69437389,1,0,0,0,1,0,0,7,2,2,1,1,0,0,0,1,0,0,0,1.08,85
100,25.00,0,1,1,3.297679218,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,4.8,97
